timestep,demand,raw_core_demand,active_vm_count
0,0.9889649416980566,112204.51180690217,865584
1,0.988277093205402,112126.47091681471,865125
2,0.9868832945405966,111968.3353832405,864425
3,0.9874141766721487,112028.56741764965,864752
4,0.9890144755148494,112210.13174093304,865340
5,0.9857645306850266,111841.4043395314,863027
6,0.9838896610108885,111628.68816768508,862983
7,0.9757853716009658,110709.20376693283,858698
8,0.9852694527270511,111785.23452173623,864936
9,0.9782857902482761,110992.89254274788,860798
10,0.978243375804191,110988.0803479051,857488
11,0.9774044949486116,110892.90385286896,857051
12,0.9791435471784378,111090.2106513479,858298
13,0.9761550862773222,110751.15030418539,855170
14,0.9803078010612175,111222.30283483045,856936
15,0.9738653384451289,110491.36350402741,853939
16,0.981830422591059,111395.05416121134,857672
17,0.9786158234138419,111030.33695423411,855296
18,0.9759910301388839,110732.53706710665,854132
19,0.973173532063547,110412.87356567124,852658
20,0.9813703737953658,111342.8586299527,856451
21,0.9811570053472372,111318.6505902661,855831
22,0.9803864354494897,111231.22441817005,855543
23,0.9798856572783531,111174.40787407754,854849
24,0.981564394822104,111364.87157871107,859071
25,0.9815697521268616,111365.47939981734,858153
26,0.9800640052459559,111194.6426122294,856448
27,0.9848473040020644,111737.33900026738,858177
28,0.9883578295737656,112135.63098348172,859773
29,0.9895998772108366,112276.54937490537,859066
30,0.9926095783433792,112618.01956461885,861363
31,0.9881416085677391,112111.09930252856,859298
32,0.9879745627343711,112092.14686509407,860682
33,0.9880134295547232,112096.55655892569,860458
34,0.9903430021558823,112360.86173842274,859050
35,0.9836945554308774,111606.55216929634,857708
36,0.9799943337046461,111186.73792223496,856213
37,0.9754544613344022,110671.65984262757,853149
38,0.9759508955485501,110727.98353651613,853645
39,0.9775100779417317,110904.8829308915,852770
40,0.9800529480426566,111193.38810052142,857116
41,0.9865392483658917,111929.30110462844,860966
42,0.9811070286690994,111312.98041073218,857400
43,0.9784979469610984,111016.96310317433,855908
44,0.9832464522654158,111555.71194756572,859688
45,0.9817277978238439,111383.4107131788,858355
46,0.9810342044807944,111304.71803240918,858049
47,0.9800025052211867,111187.6650339914,858695
48,0.9815086131606098,111358.542786019,861755
49,0.9800886701424821,111197.44100533395,860905
50,0.9809766954796459,111298.1932617866,861412
51,0.9782057487801623,110983.81131703871,859899
52,0.9792821662467969,111105.93788720487,858440
53,0.9797122168398339,111154.72992705325,858653
