timestep,demand,raw_core_demand,active_vm_count
0,0.9843948980385081,113390.76934449645,875495
1,0.9829101635746526,113219.74531393277,875378
2,0.9805956865669457,112953.14465493204,874422
3,0.9796514507636355,112844.37974321489,870308
4,0.9827076811833814,113196.4217126314,871064
5,0.9758653772878293,112408.26839697378,866240
6,0.9808460844712055,112981.987562451,872351
7,0.992066237175478,114274.41781563018,874893
8,0.9876152399220363,113761.71503352142,872964
9,0.9821340128139057,113130.34183158664,868548
10,0.9794566195908068,112821.93747271618,870776
11,0.9749388916116772,112301.54809212979,869351
12,0.9757637658381572,112396.56394739212,872655
13,0.9744611073616642,112246.51293926826,869156
14,0.9788734835953764,112754.76703198545,876873
15,0.9825450413517985,113177.687507826,877905
16,0.9897078123303026,114002.75488018781,883131
17,0.9893155791680307,113957.57421120928,880131
18,0.9834861846651338,113286.09620089742,879950
19,0.9892013354327485,113944.41467019352,882267
20,0.9837133627667088,113312.26445894827,886483
21,0.9847985280303746,113437.26279483782,879208
22,0.9845957361693229,113413.90354624027,878824
23,0.9817830785589143,113089.91831329932,876753
24,0.9798917324400013,112872.05737969675,875916
25,0.9776749400244248,112616.70884225499,874203
26,0.9759242680963953,112415.05192876974,871391
27,0.9800386315685558,112888.97843976728,871793
28,0.983686526515851,113309.17323698322,872286
29,0.982975708126494,113227.29527906816,870367
30,1.0016766161491528,115381.42097837363,881290
31,1.0037676844639563,115622.28757107939,879991
32,1.006874001043713,115980.09887984177,881583
33,0.9991491729922286,115090.28911187456,875603
34,1.003814838823731,115627.71920135646,878255
35,0.9896182431495789,113992.43755902733,874245
36,0.9961491509736023,114744.7216923153,880719
37,0.9894140929096963,113968.92184108905,878793
38,0.9905363855013589,114098.19681056708,881523
39,0.9921788457001756,114287.38899952765,879208
40,0.996399719879721,114773.58429724674,882803
41,1.0039419571626678,115642.36174600858,886933
42,0.9962502138802615,114756.36295616288,886781
43,0.9941609429688303,114515.70340328597,884866
44,0.9997252984930778,115156.65202569141,886394
45,0.9963282951493715,114765.35700437811,883379
46,0.9965707150262755,114793.28093653309,883483
47,0.9949241032439831,114603.61053375277,881386
48,0.9904947029383183,114093.39546722322,878582
49,0.9954802640857341,114667.67375253935,877521
50,1.002633635618205,115491.65841874409,880583
