step,demand,power_it,power_total,pue,sla_violation,active_hosts,sleep_hosts,off_hosts,dvfs,avg_temp,max_temp,switches,migrations,mean_host_age
0,0.9895520210266113,1179.0342529296875,1541.285411862947,1.3072439651631247,0.0,7,0,1,1.0,39.726078033447266,45.93000030517578,0,0,1.790987491607666
1,0.9880595207214355,1340.97900390625,1776.7135311391205,1.324937620919927,0.0,8,0,0,1.0,45.47993469238281,52.250999450683594,1,1,2.8448286056518555
2,0.985732913017273,1339.61083984375,1807.0437522623788,1.3489318677603037,0.0,8,0,0,1.0,49.49480438232422,56.675697326660156,0,0,3.992995262145996
3,0.9847837090492249,1339.0528564453125,1828.7768881823488,1.3657241978013261,0.0,8,0,0,1.0,52.29998016357422,59.772987365722656,0,0,5.211994647979736
4,0.9878559708595276,1340.8592529296875,1847.3460289217412,1.377732990905208,0.0,8,0,0,1.0,54.280548095703125,61.94109344482422,0,0,6.490410804748535
5,0.9809778332710266,1336.81494140625,1852.2148578723577,1.3855432045993872,0.0,8,0,0,1.0,55.62902069091797,63.458763122558594,0,0,7.809281349182129
6,0.9859846234321594,1339.759033203125,1864.3773876021664,1.3915766502762608,0.0,8,0,0,1.0,56.600555419921875,64.52113342285156,0,0,9.157299041748047
7,0.9972635507583618,1346.3909912109375,1880.2227547091406,1.3964908908207099,0.0,8,0,0,1.0,57.342803955078125,65.2647933959961,0,0,10.527582168579102
8,0.9927892684936523,1343.760009765625,1880.293079834605,1.3992774499685852,0.0,8,0,0,1.0,57.837711334228516,65.78535461425781,0,0,11.912714004516602
9,0.9872792959213257,1340.520263671875,1878.0002926823092,1.4009488282841769,0.0,8,0,0,1.0,58.153778076171875,66.14974975585938,0,0,13.307327270507812
10,0.9845879077911377,1338.937744140625,1877.2943788096056,1.4020774207201963,0.0,8,0,0,1.0,58.36018371582031,66.40482330322266,0,0,14.708133697509766
11,0.9800465106964111,1336.267333984375,1874.260470037793,1.4026089109349649,0.0,8,0,0,1.0,58.47963333129883,66.5833740234375,0,0,16.11252212524414
12,0.9808756709098816,1336.7548828125,1875.6967818231005,1.4031718200098733,0.0,8,0,0,1.0,58.56781768798828,66.70835876464844,0,0,17.51955795288086
13,0.979566216468811,1335.98486328125,1874.9819859637105,1.403445531080835,0.0,8,0,0,1.0,58.62233352661133,66.79585266113281,0,0,18.928226470947266
14,0.9840016961097717,1338.593017578125,1879.387376490961,1.4040020766664976,0.0,8,0,0,1.0,58.68494415283203,66.85709381103516,0,0,20.338775634765625
15,0.9876924753189087,1340.7630615234375,1883.1522922235831,1.404537719053699,0.0,8,0,0,1.0,58.749114990234375,66.89996337890625,0,0,21.75124740600586
16,0.9948927760124207,1344.996826171875,1890.177162913357,1.405339496817381,0.0,8,0,0,1.0,58.83372497558594,66.92997741699219,0,0,23.166259765625
17,0.9944984912872314,1344.76513671875,1890.2902492414833,1.4056657163598276,0.0,8,0,0,1.0,58.89078140258789,66.95098114013672,0,0,24.582984924316406
18,0.9886385798454285,1341.3193359375,1885.186990816163,1.4054721648357755,0.0,8,0,0,1.0,58.89841842651367,66.96568298339844,0,0,25.999937057495117
19,0.9943836331367493,1344.6976318359375,1890.5493015354114,1.405928929133469,0.0,8,0,0,1.0,58.93543243408203,66.9759750366211,0,0,27.41800308227539
20,0.988866925239563,1341.4537353515625,1885.650072186007,1.4056765600580508,0.0,8,0,0,1.0,58.930931091308594,66.98318481445312,0,0,28.83592987060547
21,0.9899577498435974,1342.09521484375,1886.6346081451836,1.405738271978587,0.0,8,0,0,1.0,58.93379211425781,66.98822784423828,0,0,30.253944396972656
22,0.9897539019584656,1341.975341796875,1886.4620509464419,1.4057352562234946,0.0,8,0,0,1.0,58.93467712402344,66.99176025390625,0,0,31.67198371887207
23,0.9869265556335449,1340.312744140625,1883.8497802609695,1.4055300067066414,0.0,8,0,0,1.0,58.919708251953125,66.99423217773438,0,0,33.089576721191406
24,0.9850252866744995,1339.19482421875,1882.0061475978175,1.4053266287791464,0.0,8,0,0,1.0,58.89874267578125,66.99596405029297,0,0,34.50653839111328
25,0.982796847820282,1337.884521484375,1879.826740407478,1.405073988240645,0.0,8,0,0,1.0,58.871788024902344,66.99717712402344,0,0,35.922691345214844
