policy,total_reward,total_energy,total_it_energy,avg_power,avg_pue,sla_rate,avg_active_hosts,avg_sleep_hosts,avg_off_hosts,avg_temp,total_switches,total_migrations
Fixed-Keep,-950.0678776901613,1161762.435254844,828546.077075204,1615.8031088384478,1.402123296613606,0.00029804192360266166,7.0,0.0,1.0,53.93186034944028,0,0
Threshold,-1256.1033124660526,1313171.637196657,940960.5784912109,1826.3861435280344,1.3955237023390135,0.0,8.0,0.0,0.0,57.817588864513496,1,1
BestFit,-1256.1033124660526,1313171.637196657,940960.5784912109,1826.3861435280344,1.3955237023390135,0.0,8.0,0.0,0.0,57.817588864513496,1,1
PPO,-1256.1253459488225,1296206.337678403,934391.3641845818,1802.7904557418694,1.3871847914394289,0.0,7.0,0.0,1.0,53.225958599997824,0,0
RoundRobin,-1511.09185223787,1426855.2817025585,1032275.8385742188,1984.4996963874244,1.3825280584185853,0.0,7.998609179415856,0.0,0.0013908205841446453,57.11653182304287,1,1
