step,demand,power_it,power_total,pue,sla_violation,active_hosts,sleep_hosts,off_hosts,dvfs,avg_temp,max_temp,switches,migrations,mean_host_age
0,0.9895520210266113,929.988037109375,1230.9065661578531,1.3235724730221314,0.3684010676350361,5,3,0,1.0,36.01763916015625,45.93000030517578,1,2,2.0034875869750977
1,0.9880595207214355,1094.2685546875,1468.4599551733174,1.3419557282194576,0.2409364170162699,6,2,0,1.0,41.208614349365234,52.250999450683594,1,2,3.0659306049346924
2,0.985732913017273,1257.7822265625,1702.7009488921315,1.3537327153569245,0.11233561500784806,7,1,0,1.0,46.056488037109375,56.675697326660156,1,2,4.200438499450684
3,0.9847837090492249,1421.774658203125,1936.092561981508,1.3617436144405548,0.0,8,0,0,1.0,50.668678283691406,59.772987365722656,1,2,5.403894424438477
4,0.9878559708595276,1423.839111328125,1966.8593194406362,1.3813775052196693,0.0,8,0,0,1.0,53.916568756103516,61.94109344482422,0,0,6.674408912658691
5,0.9809778332710266,1419.217041015625,1978.9997225390068,1.3944306369960076,0.0,8,0,0,1.0,56.14675521850586,63.458763122558594,0,0,8.008811950683594
6,0.9859846234321594,1422.581787109375,1997.62550913634,1.4042254211586873,0.0,8,0,0,1.0,57.73943328857422,64.52113342285156,0,0,9.390995025634766
7,0.9972635507583618,1430.1611328125,2019.2151500156615,1.411879475457951,0.0,8,0,0,1.0,58.92536163330078,65.2647933959961,0,0,10.808755874633789
8,0.9927892684936523,1427.1544189453125,2021.5321623876175,1.4164775272752606,0.0,8,0,0,1.0,59.727325439453125,65.78535461425781,0,0,12.25057601928711
9,0.9872792959213257,1423.45166015625,2020.410986418587,1.419374498602088,0.0,8,0,0,1.0,60.25398635864258,66.14974975585938,0,0,13.708195686340332
10,0.9845879077911377,1421.64306640625,2020.6614579783054,1.4213563908740503,0.0,8,0,0,1.0,60.60569763183594,66.40482330322266,0,0,15.176366806030273
11,0.9800465106964111,1418.59130859375,2017.868683192087,1.4224454012709276,0.0,8,0,0,1.0,60.823280334472656,66.5833740234375,0,0,16.651063919067383
12,0.9808756709098816,1419.1484375,2020.0586131261734,1.423430107624787,0.0,8,0,0,1.0,60.980812072753906,66.70835876464844,0,0,18.130489349365234
13,0.979566216468811,1418.2685546875,2019.5858480602615,1.4239798530294956,0.0,8,0,0,1.0,61.08283615112305,66.79585266113281,0,0,19.612974166870117
14,0.9840016961097717,1421.249267578125,2024.9781020831963,1.4247874375575604,0.0,8,0,0,1.0,61.18219757080078,66.85709381103516,0,0,21.098440170288086
15,0.9876924753189087,1423.7293701171875,2029.5551255259409,1.4255203047183662,0.0,8,0,0,1.0,61.275001525878906,66.89996337890625,0,0,22.586688995361328
16,0.9948927760124207,1428.56787109375,2037.8892091361804,1.4265259987794052,0.0,8,0,0,1.0,61.38532638549805,66.92997741699219,0,0,24.078250885009766
17,0.9944984912872314,1428.302978515625,2038.1249550457992,1.4269556149521836,0.0,8,0,0,1.0,61.46006774902344,66.95098114013672,0,0,25.572052001953125
18,0.9886385798454285,1424.3651123046875,2032.2389450155786,1.426768268514611,0.0,8,0,0,1.0,61.47547149658203,66.96568298339844,0,0,27.066316604614258
19,0.9943836331367493,1428.225830078125,2038.5415627030982,1.4273243907033866,0.0,8,0,0,1.0,61.52244567871094,66.9759750366211,0,0,28.56199073791504
20,0.988866925239563,1424.5185546875,2032.858881095603,1.4270497736981433,0.0,8,0,0,1.0,61.520572662353516,66.98318481445312,0,0,30.05760955810547
21,0.9899577498435974,1425.251708984375,2034.0269151437517,1.4271352227272094,0.0,8,0,0,1.0,61.52613830566406,66.98822784423828,0,0,31.553390502929688
22,0.9897539019584656,1425.114501953125,2033.8395187909566,1.4271411286626945,0.0,8,0,0,1.0,61.528743743896484,66.99176025390625,0,0,33.04925537109375
23,0.9869265556335449,1423.214599609375,2030.799561824738,1.426910293347275,0.0,8,0,0,1.0,61.51275634765625,66.99423217773438,0,0,34.544639587402344
24,0.9850252866744995,1421.93701171875,2028.6499927659725,1.4266806307502082,0.0,8,0,0,1.0,61.489593505859375,66.99596405029297,0,0,36.03932571411133
25,0.982796847820282,1420.439453125,2026.1046372655032,1.4263928200586273,0.0,8,0,0,1.0,61.45933532714844,66.99717712402344,0,0,37.533103942871094
26,0.9810370206832886,1419.2568359375,2024.0239261118388,1.4261153265996818,0.0,8,0,0,1.0,61.427066802978516,66.9980239868164,0,0,39.025917053222656
27,0.9851729273796082,1422.0361328125,2028.2975166870374,1.4263333187430862,0.0,8,0,0,1.0,61.43053436279297,66.99861907958984,0,0,40.518836975097656
28,0.9888399243354797,1424.50048828125,2032.2799189587133,1.4266614407488114,0.0,8,0,0,1.0,61.4560661315918,66.99903106689453,0,0,42.012516021728516
29,0.9881253838539124,1424.020263671875,2031.6604844264646,1.4267075660761825,0.0,8,0,0,1.0,61.46943664550781,66.99932098388672,0,0,43.50659942626953
30,1.0069242715835571,1404.4315185546875,2000.2957633222197,1.4242743322798261,0.006876655751546789,8,0,0,1.0,61.29515075683594,66.99952697753906,0,0,44.995452880859375
31,1.009026288986206,1405.77685546875,2001.4229002930522,1.4237130825615183,0.008945543921630618,8,0,0,1.0,61.18576431274414,66.99967193603516,0,0,46.481021881103516
32,1.0121488571166992,1407.775146484375,2003.9782661930756,1.4235073485972483,0.012003033972006426,8,0,0,1.0,61.127925872802734,66.99977111816406,0,0,47.96486282348633
33,1.0043835639953613,1402.805419921875,1995.678182276871,1.4226336410847444,0.004364432227389151,8,0,0,1.0,61.04084777832031,66.99983978271484,0,0,49.44608688354492
34,1.0090737342834473,1405.8072509765625,1999.970057574372,1.42264884192699,0.008992141976513351,8,0,0,1.0,61.008033752441406,66.99988555908203,0,0,50.92633056640625
35,0.9948027729988098,1428.5074462890625,2036.1902818498113,1.4253970374038796,0.0,8,0,0,1.0,61.19788360595703,66.99991607666016,0,0,52.41226577758789
36,1.0013679265975952,1400.87548828125,1993.0011998210948,1.4226826127612031,0.0013660579306180665,8,0,0,1.0,61.07172393798828,66.99993896484375,0,0,53.89441680908203
37,0.9945975542068481,1428.3695068359375,2036.3506606161093,1.4256469708086568,0.0,8,0,0,1.0,61.241172790527344,66.99995422363281,0,0,55.38165283203125
38,0.995725691318512,1429.127685546875,2038.5865746724012,1.4264551693240122,0.0,8,0,0,1.0,61.36688995361328,66.99996948242188,0,0,56.872657775878906
39,0.9973767399787903,1430.2371826171875,2041.1265302674599,1.4271245042954397,0.0,8,0,0,1.0,61.46529769897461,66.9999771118164,0,0,58.366615295410156
40,1.0016196966171265,1401.03662109375,1994.8326772746525,1.4238262207003145,0.001617077442263599,8,0,0,1.0,61.26042938232422,66.99998474121094,0,0,59.85443115234375
41,1.0092015266418457,1405.8890380859375,2001.3976019843622,1.4235814831511782,0.009117630521689868,8,0,0,1.0,61.16250991821289,66.99999237060547,0,0,61.33930587768555
42,1.0014694929122925,1400.9404296875,1992.8969851352438,1.4225422743919156,0.0014673366714538323,8,0,0,1.0,61.047569274902344,66.99999237060547,0,0,62.82073211669922
43,0.9993692636489868,1431.576171875,2041.3616640241817,1.425953926957668,0.0,8,0,0,1.0,61.254329681396484,66.99999237060547,0,0,64.30836486816406
44,1.0049628019332886,1403.17626953125,1997.016723939604,1.4232115859590002,0.004938294157496603,8,0,0,1.0,61.132808685302734,66.99999237060547,0,0,65.79234313964844
45,1.001547932624817,1400.99072265625,1992.8027127299958,1.4224239179483518,0.001545540232667781,8,0,0,1.0,61.027252197265625,66.99999237060547,0,0,67.27316284179688
46,1.0017915964126587,1401.1466064453125,1992.4310014681043,1.4220003761939455,0.001788392335366223,8,0,0,1.0,60.95482635498047,66.99999237060547,0,0,68.7518081665039
47,1.000136375427246,1400.0872802734375,1990.3106399107771,1.4215618325752297,0.0001363568315249366,8,0,0,1.0,60.89419937133789,66.99999237060547,0,0,70.22863006591797
48,0.9956837892532349,1429.099609375,2036.458793237578,1.424994297023284,0.0,8,0,0,1.0,61.12374496459961,66.99999237060547,0,0,71.71234130859375
49,1.0006954669952393,1400.445068359375,1991.8763743009722,1.4223166758225372,0.0006949836570435534,8,0,0,1.0,61.01579666137695,66.99999237060547,0,0,73.19281768798828
50,1.007886290550232,1405.047119140625,1998.6052869586472,1.422447161900921,0.007824583610445378,8,0,0,1.0,60.98337173461914,66.99999237060547,0,0,74.67230987548828
51,1.0060672760009766,1403.8831787109375,1996.5510409303959,1.4221632335274885,0.006030686163547052,8,0,0,1.0,60.94976043701172,66.99999237060547,0,0,76.15080261230469
52,1.0034070014953613,1402.180419921875,1993.6286251546633,1.4218060649183375,0.003395433249203891,8,0,0,1.0,60.910274505615234,66.99999237060547,0,0,77.62811279296875
53,0.9942649006843567,1428.14599609375,2035.0229425426153,1.4249404109305273,0.0,8,0,0,1.0,61.126060485839844,66.99999237060547,0,0,79.11189270019531
54,0.994430422782898,1428.25732421875,2036.4962281078429,1.4258608680489677,0.0,8,0,0,1.0,61.27815246582031,66.99999237060547,0,0,80.60023498535156
55,0.9903126358985901,1425.489990234375,2032.9588061954673,1.426147373971538,0.0,8,0,0,1.0,61.358673095703125,66.99999237060547,0,0,82.09099578857422
56,0.9888847470283508,1424.530517578125,2031.898258275745,1.4263634462041705,0.0,8,0,0,1.0,61.406044006347656,66.99999237060547,0,0,83.58318328857422
57,0.9901073575019836,1425.35205078125,2033.5027101696803,1.426666983118379,0.0,8,0,0,1.0,61.44690704345703,66.99999237060547,0,0,85.07658386230469
58,0.9852424263954163,1422.0830078125,2028.4913714973127,1.426422621150373,0.0,8,0,0,1.0,61.44486618041992,66.99999237060547,0,0,86.56993103027344
59,0.9741074442863464,1414.6002197265625,2016.4596452998649,1.4254625562617542,0.0,8,0,0,1.0,61.37328338623047,66.99999237060547,0,0,88.06112670898438
60,0.9757542610168457,1415.706787109375,2017.8105071993962,1.425302559521814,0.0,8,0,0,1.0,61.33354949951172,66.99999237060547,0,0,89.55113220214844
61,0.9710178971290588,1412.52392578125,2012.4668837337886,1.424731182957285,0.0,8,0,0,1.0,61.27589416503906,66.99999237060547,0,0,91.03941345214844
